indonesia,tonyooi
"Akan, hendak","Antakng"
"Alas","Ampiitn"
"Alat pemeras tebu","Pengampeh"
"Alat penangkap ikan di danau yang dangkal","Serkap"
"Arah, letak, alamat","Antung"
"Asap","Encuutn"
"Awan","Jautn"
"Bagian atas dari moncong hewan","Bangkukng"
"Bagian depan","Lehuatn"
"Bangkai","Angkai"
"Banyak","Antaaq"
"Baru saja","Bioh"
"Baskom","Coang"
"Bau, aroma","Baon; Baoq"
"Belantik","Huit"
"Bengkok","Belengkoot"
"Bensin","Bancukng"
"Berbelok-belok","Keak-keok"
"Bergantung","Begontekng"
"Bergoyang-goyang","Kear-keor"
"Berjongkok","Ngerkokng"
"Beracun","Bersinak"
"Berserakan","Buncaarbaih"
"Bersama dengan","Ampuun"
"Berterus terang","Nerdaatn"
"Bintang","Bintakng"
"Bisul","Mancak"
"Bosan","Lea"
"Bunga yang dipakai dalam upacara belian","Juakng"
"Bunuh diri","Mentiuuq"
"Burung elang","Beniaq"
"Burung hantu","Buak"
"Cahaya, sinar, terang","Ampaap"
"Cangkul","Sangkur"
"Celana","Seloar"
"Cobek","Coeq"
"Daging yang masih segar","Bion"
"Diomeli","Tengemperek"
"Emper","Sermiq"
"Gagap","Cecuaq"
"Gesit, rajin","Koih"
"Guci besar","Antaakng"
"Guna-guna, pelet","Ancaatn"
"Hampir","Jait"
"Hitam","Permaq"
"Hujan terus-menerus","Buo"
"Ikan lais","Laih"
"Ikut, mengikuti","Amput"
"Jalan berduaan","Berempai"
"Jalan panjang","Leeot"
"Jauh","Encoq"
"Jenis buah asam hutan","Kelauq"
"Jenis kadal yang besar","Kauuk"
"Jenis rotan","Gei siih"
"Jenis seni suara","Bloak"
"Jenis sarung (untuk perempuan)","Caor"
"Kabur","Jaut"
"Kacang panjang","Kertak"
"Kain yang dipilin dan dilumuri lilin madu untuk ritual belian","Dian"
"Kampung","Benua"
"Keok","Mengeook"
"Keracunan","Keliuq"
"Kering, garing, renyah","Kertikng"
"Ketiak","Kerkak"
"Khawatir, cemas","Gaer"
"Kincir angin","Kerwilik"
"Kira-kira, mungkin","Angka"
"Lain","Laitn"
"Lampu pompa angin","Setrongkeng"
"Lapar","Laoq"
"Leluhur","Pelgaq mai"
"Lemak","Loaaq; Loan"
"Longgar","Goar-goer"
"Lubang","Luuok"
"Lubang tugalan","Loakng"
"Lumbung padi","Kelengkikng"
"Makanan yang tersangkut di leher","Belengkenat"
"Masa akil balik","Bantir"
"Masjid","Mensigit"
"Melebihi batas","Loseeu"
"Melerai","Meraiq"
"Melengking","Mengeliu"
"Melihat","Neaau"
"Mematikan di tempatnya","Nerdas"
"Memang","Kae"
"Memberi isyarat dengan tangan agar orang lain pergi atau minggir","Ngueu"
"Memberikan nasihat kepada anak kandung/keluarga dekat sebelum meninggal","Serbanaaq"
"Membuka","Ngeaak"
"Mencelupkan","Ngeteu; Pucoou"
"Mencuci muka","Kao"
"Menggerakkan","Ngureeu"
"Menggerakkan tangan atau galah, dan lain-lain pertanda agar menjauh","Nguweu"
"Menghajar","Nguih"
"Menghamburkan air keluar dari dalam wadahnya","Nguseu"
"Mengikuti dari belakang","Menyelingkui"
"Mengungkit, menjungkit","Nguit"
"Menindih","Meat"
"Menjulang tinggi","Longeeu"
"Menjuntai ke bawah","Lesoer"
"Menyebutkan atau menanyakan berulang kali","Buookng"
"Menyengir","Ngenjijiq"
"Menyatukan yang berserakan","Mioh"
"Menutup kemaluan dengan telapak atau jari tangan","Bepempaapm"
"Miliknya","Gae"
"Moncong","Ancur"
"Mual","Loah"
"Musim kemarau berkepanjangan","Koreu"
"Nama jenis cendawan/jamur","Beor"
"Nama jenis mangga","Kuini"
"Nama jenis tumbuhan yang bisa dimakan","Meluikng"
"Nasi yang bercampur dengan sayur (berkuah)","Uok"
"Tidak karuan","Kelikau-kiiu"
"Tidak memakai baju","Belempai"
"Tidak meledak/meletus","Bantuut"
"Orang yang berjasa dalam sejarah dan pengembangan kampung","Pemkaar"
"Parang","Beldookng"
"Pembagian tugas atau pekerjaan","Perngaaq"
"Pergi menengok ladang","Kelio"
"Pinggir","Kiriu"
"Rapuh (tentang tubuh)","Berdoeeq"
"Rendah hati","Angkuui; Mangkasi"
"Rumbia","Jemiaq"
"Sadar, siuman","Mio"
"Saling berangkulan","Berempuh"
"Sapu","Kias"
"Satu, tunggal","Bueh"
"Sayap","Kelikiu"
"Sebabnya","Anteek"
"Sejenis guci","Jie"
"Selalu, biasa","Kaeet"
"Sendok, gayung","Kaot"
"Sperma","Leoq; Leoon"
"Sibuk","Aur"
"Sudah dikerjakan","Keaskeko"
"Sungai","Iatn"
"Suara babi berteriak","Mengoek"
"Susah, sengsara, menderita","Mentaih"
"Tak terurus, berantakan","Leler-maer"
"Tangkai beliung","Perdah"
"Tari","Ancar"
"Telanjur","Terjooq"
"Tempat berteduh","Engkolakng"
"Terangkat pada salah satu ujung","Kekuit"
"Terka","Nerka"
"Tertimpa","Keluatn"
"Tiang (patung) untuk mengikat hewan kurban","Beluntakng"
"Tidur-tiduran","Galikngganai"
"Tinggal","Diapm"
"Tukul","Incuk"
"Tusuk","Anci"
"Yang Maha Esa","Lahtala"
