tonyooI,indonesia
"akuq", "aku, saya",
"Ampaap","Cahaya, sinar, terang"
"Amput","Ikut, mengikuti"
"Ampiitn","Alas"
"Ampuun","Bersama dengan"
"Ancar","Tari"
"Ancaatn","Guna-guna, pelet"
"Anci","Tusuk"
"Ancur","Moncong"
"Angka","Kira-kira, mungkin"
"Angkai","Bangkai"
"Angkuui","Rendah hati"
"Antaakng","Guci besar"
"Antaaq","Banyak"
"Antakng","Akan, hendak"
"Anteek","Sebabnya"
"Antung","Arah, letak, alamat"
"Aur","Sibuk"
"Bancukng","Bensin"
"Bangkukng","Bagian atas dari moncong hewan"
"Bantir","Masa akil balik"
"Bantuut","Tidak meledak/meletus"
"Baon","Bau, aroma"
"Baoq","Bau, aroma"
"Begontekng","Bergantung"
"Beldookng","Parang"
"Belempai","Tidak memakai baju"
"Belengkenat","Makanan yang tersangkut di leher"
"Belengkoot","Bengkok"
"Beluntakng","Tiang patung untuk mengikat hewan kurban"
"Beniaq","Burung elang"
"Benua","Kampung"
"Beor","Nama jenis cendawan/jamur"
"Bepempaapm","Menutup kemaluan dengan telapak atau jari tangan"
"Berdoeeq","Rapuh tentang tubuh"
"Berempai","Jalan berduaan"
"Berempuh","Saling berangkulan"
"Bersinak","Beracun"
"Bintakng","Bintang"
"Bion","Daging yang masih segar"
"Bioh","Baru saja"
"Bloak","Jenis seni suara"
"Buak","Burung hantu"
"Bueh","Satu, tunggal"
"Buncaarbaih","Berserakan"
"Buo","Hujan terus-menerus"
"Buookng","Menyebutkan atau menanyakan berulang kali"
"Caor","Jenis sarung untuk perempuan"
"Cecuaq","Gagap"
"Coang","Baskom"
"Coeq","Cobek"
"Dian","Kain yang dipilin dan dilumuri lilin madu untuk ritual belian"
"Diapm","Tinggal"
"Encuutn","Asap"
"Encoq","Jauh"
"Engkolakng","Tempat berteduh"
"Gae","Miliknya"
"Gaer","Khawatir, cemas"
"Galikngganai","Tidur-tiduran"
"Gei siih","Jenis rotan"
"Goar-goer","Longgar"
"Huit","Belantik"
"Iatn","Sungai"
"Incuk","Tukul"
"Jait","Hampir"
"Jaut","Kabur"
"Jautn","Awan"
"Jemiaq","Rumbia"
"Jie","Sejenis guci"
"Juakng","Bunga yang dipakai dalam upacara belian"
"Kae","Memang"
"Kaeet","Selalu, biasa"
"Kao","Mencuci muka"
"Kaot","Sendok, gayung"
"Kauuk","Jenis kadal yang besar"
"Kear-keor","Bergoyang-goyang"
"Keak-keok","Berbelok-belok"
